Occupation,Hydrogen Capabilities,Value Chain,Technology
Fuel Cell Electric Vehicle (FCEV) Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Heating Application
Fuel Cell Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Heating Application
HVAC Technician,"Understanding aspects of installation and testing procedures that are different due to the nature of hydrogen; Knowledge of the materials, equipment, and components to use to withstand hydrogen pressure and temperatures; Welding procedures and techniques appropriate for hydrogen; Knowledge of the practices, technologies, equipment, and systems to control hydrogen corrosion or embrittlement; Understanding procedures to trace, locate, and repair hydrogen leaks ; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Heating Application
Refueling Techician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Heating Application
Utility Service Technician,"Understanding aspects of installation and testing procedures that are different due to the nature of hydrogen; Understanding procedures to trace, locate, and repair hydrogen leaks ; Knowledge of odorants used to assist with leak detection of hydrogen; Understanding the materials, coatings, and inhibitors to use and correct application to protect from hydrogen corrosion; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Heating Application
Instrumentation Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Heating Application
Mechatronics Technician,"Knowledge of the practices, technologies, equipment, and systems to control hydrogen corrosion or embrittlement; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Heating Application
Materials Technician,"Knowledge of the materials, equipment, and components to use to withstand hydrogen pressure and temperatures; Understanding the materials, coatings, and inhibitors to use and correct application to protect from hydrogen corrosion; Hydrogen properties, behaviour, and potential hazards created; Operating, monitoring, maintaining, and testing hydrogen-related equipment",Hydrogen End-Use Application,Hydrogen Heating Application
Marine Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Heating Application
Electrochemical Technician,"Hydrogen properties, behaviour, and potential hazards created",Hydrogen End-Use Application,Hydrogen Heating Application
Safety Technician,"Understanding procedures to trace, locate, and repair hydrogen leaks ; Knowledge of odorants used to assist with leak detection of hydrogen; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Heating Application
System Integration Technician,"Knowledge of the practices, technologies, equipment, and systems to control hydrogen corrosion or embrittlement",Hydrogen End-Use Application,Hydrogen Heating Application
Operation Technician,"Hydrogen properties, behaviour, and potential hazards created; Knowledge of hydrogen-related regulations, standards, and codes; Operating, monitoring, maintaining, and testing hydrogen-related equipment",Hydrogen End-Use Application,Hydrogen Heating Application
Renewable Energy Technician,"Welding procedures and techniques appropriate for hydrogen; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Operating, monitoring, maintaining, and testing hydrogen-related equipment",Hydrogen End-Use Application,Hydrogen Heating Application
Manufacturing Production Technician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Operating, monitoring, maintaining, and testing hydrogen-related equipment",Hydrogen End-Use Application,Hydrogen Heating Application
"Pipeline Technician: Electrical and Instrumentation, Mechanical","Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Heating Application
Locomotive Electrician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Heating Application
Electrician,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Heating Application
Reservoir Technoligist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Heating Application
Control Room Operator,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Heating Application
Well Completions Operator,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Heating Application
Plant Operator,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Heating Application
Utility Operator,"Understanding procedures to trace, locate, and repair hydrogen leaks ; Knowledge of odorants used to assist with leak detection of hydrogen; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Heating Application
Heavy-duty Mechanic (Duel Fuel),"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Heating Application
Truck Driver,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Heating Application
Gas Fitter,"Understanding aspects of installation and testing procedures that are different due to the nature of hydrogen; Knowledge of the materials, equipment, and components to use to withstand hydrogen pressure and temperatures; Welding procedures and techniques appropriate for hydrogen; Knowledge of the practices, technologies, equipment, and systems to control hydrogen corrosion or embrittlement; Understanding procedures to trace, locate, and repair hydrogen leaks ; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen",Hydrogen End-Use Application,Hydrogen Heating Application
Fitter and Turner,"Knowledge of the practices, technologies, equipment, and systems to control hydrogen corrosion or embrittlement; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen; Knowledge of hydrogen-related regulations, standards, and codes",Hydrogen End-Use Application,Hydrogen Heating Application
Commissioning Technician,"Appropriate selection and
maintenance of compression and
turbine systems and equipment to
withstand hydrogen pressure; Appropriate selection and
maintenance of electrical equipment
and instrumentation systems required
for pipeline transmission of gaseous
hydrogen; Appropriate selection and
maintenance of stationary and
rotating equipment and systems
required for pipeline transmission of
gaseous hydrogen; Understanding hydrogen
compression processes; Appropriate selection and
maintenance of materials and
equipment to withstand hydrogen
pressure and temperatures; Appropriate selection, design, and
maintenance of hydrogen fuel tanks,
piping systems and fitting, valves,
and seals to withstand hydrogen
pressure (high/low) and temperatures
(hot/cold); Knowledge of fuel cell technology; Knowledge of fuel cell technology and
hydro-electric power trains; Hydrogen properties, behaviour, and
potential hazards created; Safety when working with or around
hydrogen; Operating, monitoring, maintaining,
and testing hydrogen-related
equipment",Hydrogen Distribution ,
Chemical Process Technician,"Appropriate selection and
maintenance of compression and
turbine systems and equipment to
withstand hydrogen pressure; Understanding hydrogen
compression processes; Appropriate selection, design, and
maintenance of hydrogen fuel tanks,
piping systems and fitting, valves,
and seals to withstand hydrogen
pressure (high/low) and temperatures
(hot/cold); Knowledge of fuel cell technology; Knowledge of fuel cell technology and
hydro-electric power trains; Hydrogen properties, behaviour, and
potential hazards created; Safety when working with or around
hydrogen; Knowledge of hydrogen-related
regulations, standards, and codes",Hydrogen Distribution ,
Chemical Laboratory Technician,"Hydrogen properties, behaviour, and
potential hazards created; Safety when working with or around
hydrogen; Knowledge of hydrogen-related
regulations, standards, and codes",Hydrogen Distribution ,
Mechanical Technician,"Appropriate selection and
maintenance of stationary and
rotating equipment and systems
required for pipeline transmission of
gaseous hydrogen; Knowledge of fuel cell technology; Knowledge of fuel cell technology and
hydro-electric power trains; Hydrogen properties, behaviour, and
potential hazards created; Safety when working with or around
hydrogen",Hydrogen Distribution ,
Maintenance Technician,"Appropriate selection and
maintenance of stationary and
rotating equipment and systems
required for pipeline transmission of
gaseous hydrogen; Knowledge of fuel cell technology; Knowledge of fuel cell technology and
hydro-electric power trains; Hydrogen properties, behaviour, and
potential hazards created; Safety when working with or around
hydrogen; Knowledge of hydrogen-related
regulations, standards, and codes; Operating, monitoring, maintaining,
and testing hydrogen-related
equipment",Hydrogen Distribution ,
Test Technician,"Hydrogen properties, behaviour, and
potential hazards created; Safety when working with or around
hydrogen; Operating, monitoring, maintaining,
and testing hydrogen-related
equipment",Hydrogen Distribution ,
Cylinder Technician,"Understanding hydrogen
compression processes; Appropriate selection and
maintenance of materials and
equipment to withstand hydrogen
pressure and temperatures; Hydrogen properties, behaviour, and
potential hazards created; Safety when working with or around
hydrogen",Hydrogen Distribution ,
Fuel Cell Electric Vehicle (FCEV) Technician,"Appropriate selection, design, and
maintenance of hydrogen fuel tanks,
piping systems and fitting, valves,
and seals to withstand hydrogen
pressure (high/low) and temperatures
(hot/cold); Knowledge of fuel cell technology; Knowledge of fuel cell technology and
hydro-electric power trains; Hydrogen properties, behaviour, and
potential hazards created; Safety when working with or around
hydrogen",Hydrogen Distribution ,
Fuel Cell Technician,"Appropriate selection, design, and
maintenance of hydrogen fuel tanks,
piping systems and fitting, valves,
and seals to withstand hydrogen
pressure (high/low) and temperatures
(hot/cold); Knowledge of fuel cell technology; Knowledge of fuel cell technology and
hydro-electric power trains; Hydrogen properties, behaviour, and
potential hazards created; Safety when working with or around
hydrogen",Hydrogen Distribution ,
HVAC Technician,"Hydrogen properties, behaviour, and
potential hazards created; Safety when working with or around
hydrogen; Knowledge of hydrogen-related
regulations, standards, and codes",Hydrogen Distribution ,
Electrolyser Technician,"Knowledge of fuel cell technology; Knowledge of fuel cell technology and
hydro-electric power trains",Hydrogen Distribution ,
Refueling Techician,"Hydrogen properties, behaviour, and
potential hazards created; Safety when working with or around
hydrogen; Knowledge of hydrogen-related
regulations, standards, and codes",Hydrogen Distribution ,
Utility Service Technician,"Knowledge of hydrogen-related
regulations, standards, and codes",Hydrogen Distribution ,
Instrumentation Technician,"Hydrogen properties, behaviour, and
potential hazards created; Safety when working with or around
hydrogen",Hydrogen Distribution ,
Mechatronics Technician,"Appropriate selection and
maintenance of stationary and
rotating equipment and systems
required for pipeline transmission of
gaseous hydrogen; Hydrogen properties, behaviour, and
potential hazards created; Safety when working with or around
hydrogen",Hydrogen Distribution ,
Materials Technician,"Appropriate selection and
maintenance of materials and
equipment to withstand hydrogen
pressure and temperatures; Appropriate selection, design, and
maintenance of hydrogen fuel tanks,
piping systems and fitting, valves,
and seals to withstand hydrogen
pressure (high/low) and temperatures
(hot/cold); Knowledge of fuel cell technology; Knowledge of fuel cell technology and
hydro-electric power trains; Hydrogen properties, behaviour, and
potential hazards created; Operating, monitoring, maintaining,
and testing hydrogen-related
equipment",Hydrogen Distribution ,
Marine Technician,"Hydrogen properties, behaviour, and
potential hazards created; Safety when working with or around
hydrogen; Knowledge of hydrogen-related
regulations, standards, and codes",Hydrogen Distribution ,
Electrochemical Technician,"Understanding hydrogen
compression processes; Knowledge of fuel cell technology; Knowledge of fuel cell technology and
hydro-electric power trains; Hydrogen properties, behaviour, and
potential hazards created",Hydrogen Distribution ,
Safety Technician,"Hydrogen properties, behaviour, and
potential hazards created; Safety when working with or around
hydrogen; Knowledge of hydrogen-related
regulations, standards, and codes",Hydrogen Distribution ,
System Integration Technician,"Appropriate selection and
maintenance of compression and
turbine systems and equipment to
withstand hydrogen pressure; Appropriate selection and
maintenance of electrical equipment
and instrumentation systems required
for pipeline transmission of gaseous
hydrogen; Appropriate selection, design, and
maintenance of hydrogen fuel tanks,
piping systems and fitting, valves,
and seals to withstand hydrogen
pressure (high/low) and temperatures
(hot/cold)",Hydrogen Distribution ,
Operation Technician,"Hydrogen properties, behaviour, and
potential hazards created; Knowledge of hydrogen-related
regulations, standards, and codes; Operating, monitoring, maintaining,
and testing hydrogen-related
equipment",Hydrogen Distribution ,
Renewable Energy Technician,"Understanding hydrogen
compression processes; Knowledge of fuel cell technology; Knowledge of fuel cell technology and
hydro-electric power trains; Hydrogen properties, behaviour, and
potential hazards created; Safety when working with or around
hydrogen; Operating, monitoring, maintaining,
and testing hydrogen-related
equipment",Hydrogen Distribution ,
Welder,"Appropriate selection and
maintenance of compression and
turbine systems and equipment to
withstand hydrogen pressure",Hydrogen Distribution ,
Assembly Technician,"Appropriate selection and
maintenance of compression and
turbine systems and equipment to
withstand hydrogen pressure; Knowledge of fuel cell technology; Knowledge of fuel cell technology and
hydro-electric power trains",Hydrogen Distribution ,
Manufacturing Production Technician,"Understanding hydrogen
compression processes; Knowledge of fuel cell technology; Knowledge of fuel cell technology and
hydro-electric power trains; Hydrogen properties, behaviour, and
potential hazards created; Safety when working with or around
hydrogen; Operating, monitoring, maintaining,
and testing hydrogen-related
equipment",Hydrogen Distribution ,
"Pipeline Technician: Electrical and Instrumentation, Mechanical","Appropriate selection and
maintenance of electrical equipment
and instrumentation systems required
for pipeline transmission of gaseous
hydrogen; Appropriate selection and
maintenance of stationary and
rotating equipment and systems
required for pipeline transmission of
gaseous hydrogen; Hydrogen properties, behaviour, and
potential hazards created; Safety when working with or around
hydrogen; Knowledge of hydrogen-related
regulations, standards, and codes",Hydrogen Distribution ,
Locomotive Electrician,"Appropriate selection, design, and
maintenance of hydrogen fuel tanks,
piping systems and fitting, valves,
and seals to withstand hydrogen
pressure (high/low) and temperatures
(hot/cold); Knowledge of fuel cell technology and
hydro-electric power trains; Hydrogen properties, behaviour, and
potential hazards created; Safety when working with or around
hydrogen",Hydrogen Distribution ,
Electrician,"Knowledge of fuel cell technology; Knowledge of fuel cell technology and
hydro-electric power trains; Hydrogen properties, behaviour, and
potential hazards created; Safety when working with or around
hydrogen",Hydrogen Distribution ,
Reservoir Technoligist,"Hydrogen properties, behaviour, and
potential hazards created; Safety when working with or around
hydrogen",Hydrogen Distribution ,
Compression Station Operator,"Appropriate selection and
maintenance of compression and
turbine systems and equipment to
withstand hydrogen pressure; Understanding hydrogen
compression processes",Hydrogen Distribution ,
Control Room Operator,"Hydrogen properties, behaviour, and
potential hazards created; Safety when working with or around
hydrogen",Hydrogen Distribution ,
Well Completions Operator,"Hydrogen properties, behaviour, and
potential hazards created; Safety when working with or around
hydrogen; Knowledge of hydrogen-related
regulations, standards, and codes",Hydrogen Distribution ,
Plant Operator,"Hydrogen properties, behaviour, and
potential hazards created; Safety when working with or around
hydrogen",Hydrogen Distribution ,
Utility Operator,"Hydrogen properties, behaviour, and
potential hazards created; Safety when working with or around
hydrogen; Knowledge of hydrogen-related
regulations, standards, and codes",Hydrogen Distribution ,
Heavy-duty Mechanic (Duel Fuel),"Appropriate selection, design, and
maintenance of hydrogen fuel tanks,
piping systems and fitting, valves,
and seals to withstand hydrogen
pressure (high/low) and temperatures
(hot/cold); Hydrogen properties, behaviour, and
potential hazards created; Safety when working with or around
hydrogen; Knowledge of hydrogen-related
regulations, standards, and codes",Hydrogen Distribution ,
Truck Driver,"Knowledge of fuel cell technology; Hydrogen properties, behaviour, and
potential hazards created; Safety when working with or around
hydrogen",Hydrogen Distribution ,
Gas Fitter,"Hydrogen properties, behaviour, and
potential hazards created; Safety when working with or around
hydrogen",Hydrogen Distribution ,
Fitter and Turner,"Appropriate selection and
maintenance of electrical equipment
and instrumentation systems required
for pipeline transmission of gaseous
hydrogen; Hydrogen properties, behaviour, and
potential hazards created; Safety when working with or around
hydrogen; Knowledge of hydrogen-related
regulations, standards, and codes",Hydrogen Distribution ,
Renewable Interconnect Specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Distribution and Transportation ,<not_included>
Automation and Control Specialist,"Understanding hydrogen compression processes; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Distribution and Transportation ,<not_included>
Compression specialist,"Appropriate selection, design, and maintenance of hydrogen compression, turbine systems, and equipment; Knowledge of the practices, technologies, equipment, and systems to control hydrogen corrosion or embrittlement ",Hydrogen Distribution and Transportation ,<not_included>
Corrosion specialist,"Knowledge and selection of the type of materials, coatings, and inhibitors to use to protect from hydrogen corrosion and embrittlement; Understanding relevant hydrogen regulations, codes, and standards; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Distribution and Transportation ,<not_included>
Measurement specialist,"Knowledge of hydrogen value chains; Understanding measurement equipment and instrumentation associated with hydrogen transmission; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Distribution and Transportation ,<not_included>
Pipeline integrity specialist,"Knowledge and selection of the type of materials, coatings, and inhibitors to use to protect from hydrogen corrosion and embrittlement; Understanding materials behaviour in high pressure hydrogen; Appropriate selection and design of vessels, compressors, piping systems and fitting, valves, and seals to withstand high hydrogen pressure; Understanding properties and characteristics of hydrogen in a gaseous state; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Distribution and Transportation ,<not_included>
Tank tester or inspector,"Understanding hydrogen compression processes; Appropriate selection and maintenance of materials and equipment to withstand hydrogen pressure and temperatures; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Distribution and Transportation ,<not_included>
Transportation solutions advisor,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Distribution and Transportation ,<not_included>
Hydrogen integration specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Distribution and Transportation ,<not_included>
Utility inspector,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Distribution and Transportation ,<not_included>
Economic modelling specialist,Knowledge of hydrogen value chains,Hydrogen Distribution and Transportation ,<not_included>
Economist,Knowledge of hydrogen value chains,Hydrogen Distribution and Transportation ,<not_included>
Finance specialist,Knowledge of hydrogen value chains,Hydrogen Distribution and Transportation ,<not_included>
Communications and marketing specialist,Knowledge of hydrogen value chains,Hydrogen Distribution and Transportation ,<not_included>
Lawyer,"Knowledge of hydrogen value chains; Understanding relevant hydrogen regulations, codes, and standards",Hydrogen Distribution and Transportation ,<not_included>
Safety and hazards specialist,"Knowledge of hydrogen value chains; Hydrogen properties, behaviour, and potential hazards created",Hydrogen Distribution and Transportation ,<not_included>
Business developer,"Knowledge of hydrogen value chains; Knowledge of hydrogen production, distribution, and dispensing technology to meet the needs of different fleets; Understanding relevant hydrogen regulations, codes, and standards; Hydrogen properties, behaviour, and potential hazards created",Hydrogen Distribution and Transportation ,<not_included>
Supply chain specialist,"Knowledge of hydrogen value chains; Knowledge of hydrogen production, distribution, and dispensing technology to meet the needs of different fleets; Understanding relevant hydrogen regulations, codes, and standards; Hydrogen properties, behaviour, and potential hazards created",Hydrogen Distribution and Transportation ,<not_included>
Power-to-X technology specialist,"Knowledge of hydrogen value chains; Knowledge of hydrogen production, distribution, and dispensing technology to meet the needs of different fleets; Understanding relevant hydrogen regulations, codes, and standards; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Distribution and Transportation ,<not_included>
Hydrogen value chain e×pert,"Knowledge of hydrogen value chains; Knowledge of hydrogen production, distribution, and dispensing technology to meet the needs of different fleets; Understanding relevant hydrogen regulations, codes, and standards; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Distribution and Transportation ,<not_included>
Public relations specialist,Knowledge of hydrogen value chains,Hydrogen Distribution and Transportation ,<not_included>
Sustainability specialist,Knowledge of hydrogen value chains,Hydrogen Distribution and Transportation ,<not_included>
Innovation specialist,"Knowledge of hydrogen value chains; Appropriate selection, design, and maintenance of hydrogen compression, turbine systems, and equipment; Knowledge of hydrogen fuel cell technology, how it works, and value proposition relating to emissions targets and cost-effectiveness; Knowledge of hydrogen production, distribution, and dispensing technology to meet the needs of different fleets; Understanding relevant hydrogen regulations, codes, and standards; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Distribution and Transportation ,<not_included>
Energy storage specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Distribution and Transportation ,<not_included>
Energy transition specialist,"Knowledge of hydrogen value chains; Knowledge of hydrogen production, distribution, and dispensing technology to meet the needs of different fleets; Understanding relevant hydrogen regulations, codes, and standards; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Distribution and Transportation ,<not_included>
Operation optimisation specialist,"Knowledge of hydrogen value chains; Knowledge of hydrogen production, distribution, and dispensing technology to meet the needs of different fleets; Understanding relevant hydrogen regulations, codes, and standards; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Distribution and Transportation ,<not_included>
Technology commercialisation Specialist,"Knowledge of hydrogen value chains; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Distribution and Transportation ,<not_included>
Grid operation specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Distribution and Transportation ,<not_included>
BOP specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Distribution and Transportation ,<not_included>
Land acquisition specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Distribution and Transportation ,<not_included>
Nanotechnology specialist,"Knowledge of hydrogen value chains; Knowledge and selection of the type of materials, coatings, and inhibitors to use to protect from hydrogen corrosion and embrittlement; Understanding materials behaviour in high pressure hydrogen; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Distribution and Transportation ,<not_included>
Marine engines e×pert,"Knowledge of hydrogen value chains; Understanding measurement equipment and instrumentation associated with hydrogen transmission; Appropriate selection and design of vessels, compressors, piping systems and fitting, valves, and seals to withstand high hydrogen pressure; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen Distribution and Transportation ,<not_included>
Renewable Interconnect Specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Heating Application
Automation and Control Specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Heating Application
Corrosion specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Heating Application
Measurement specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Heating Application
Pipeline integrity specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Heating Application
Tank tester or inspector,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Heating Application
Transportation solutions advisor,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Heating Application
Hydrogen integration specialist,"Knowledge of hydrogen related regulations, standards, and codes; Strong industry knowledge and experience with hydrogen technologies, processes and equipment, and components to use to withstand hydrogen pressure and temperatures; Appropriate selection of materials, coatings, odorants, inhibitors, and such for hydrogen blending; Appropriate selection, design, modification to ventilation, leak detection, flame detection, corrosion prevention equipment, and systems for hydrogen blending; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Heating Application
Utility inspector,"Knowledge of hydrogen related regulations, standards, and codes; Practices, technologies, equipment, and systems to control hydrogen corrosion or embrittlement ; Comprehensive understanding of aspects of installation and testing procedures that are different due to the nature of hydrogen; Knowledge of materials, equipment, and components to use to withstand hydrogen pressure and temperatures; Welding procedures and techniques appropriate for hydrogen; Understanding the procedures to trace, locate, and repair hydrogen leaks; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Heating Application
Safety and hazards specialist,"Hydrogen properties, behaviour, and potential hazards created",Hydrogen End-Use Application,Hydrogen Heating Application
Business developer,"Hydrogen properties, behaviour, and potential hazards created",Hydrogen End-Use Application,Hydrogen Heating Application
Supply chain specialist,"Understanding technical factors associated with using hydrogen blending for heating; Knowledge of hydrogen related regulations, standards, and codes; Strong industry knowledge and experience with hydrogen technologies, processes and equipment, and components to use to withstand hydrogen pressure and temperatures; Comprehensive understanding of aspects of installation and testing procedures that are different due to the nature of hydrogen; Knowledge of materials, equipment, and components to use to withstand hydrogen pressure and temperatures; Hydrogen properties, behaviour, and potential hazards created",Hydrogen End-Use Application,Hydrogen Heating Application
Power-to-X technology specialist,"Understanding technical factors associated with using hydrogen blending for heating; Knowledge of hydrogen related regulations, standards, and codes; Strong industry knowledge and experience with hydrogen technologies, processes and equipment, and components to use to withstand hydrogen pressure and temperatures; Comprehensive understanding of aspects of installation and testing procedures that are different due to the nature of hydrogen; Knowledge of materials, equipment, and components to use to withstand hydrogen pressure and temperatures; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Heating Application
Hydrogen value chain e×pert,"Understanding technical factors associated with using hydrogen blending for heating; Knowledge of hydrogen related regulations, standards, and codes; Strong industry knowledge and experience with hydrogen technologies, processes and equipment, and components to use to withstand hydrogen pressure and temperatures; Comprehensive understanding of aspects of installation and testing procedures that are different due to the nature of hydrogen; Knowledge of materials, equipment, and components to use to withstand hydrogen pressure and temperatures; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Heating Application
Innovation specialist,"Strong industry knowledge and experience with hydrogen technologies, processes and equipment, and components to use to withstand hydrogen pressure and temperatures; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Heating Application
Energy storage specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Heating Application
Energy transition specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Heating Application
Operation optimisation specialist,"Strong industry knowledge and experience with hydrogen technologies, processes and equipment, and components to use to withstand hydrogen pressure and temperatures; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Heating Application
Technology commercialisation Specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Heating Application
Grid operation specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Heating Application
BOP specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Heating Application
Land acquisition specialist,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Heating Application
Nanotechnology specialist,"Appropriate selection of materials, coatings, odorants, inhibitors, and such for hydrogen blending; Knowledge of materials, equipment, and components to use to withstand hydrogen pressure and temperatures; Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Heating Application
Marine engines e×pert,"Hydrogen properties, behaviour, and potential hazards created; Safety when working with or around hydrogen ",Hydrogen End-Use Application,Hydrogen Heating Application
